p10 =

  50×1 table

           ProbFuse
           ________

    351      0     
    352    0.1     
    353    0.1     
    354    0.1     
    355    0.4     
    356    0.1     
    357    0.4     
    358    0.3     
    359    0.2     
    360    0.1     
    361    0.2     
    362    0.1     
    363    0.2     
    364    0.5     
    365      0     
    366    0.2     
    367    0.1     
    368    0.1     
    369    0.4     
    370    0.3     
    371    0.1     
    372    0.3     
    373    0.2     
    374    0.4     
    375    0.1     
    376    0.2     
    377      0     
    378      0     
    379    0.1     
    380    0.2     
    381      0     
    382    0.3     
    383    0.1     
    384      0     
    385    0.1     
    386    0.1     
    387    0.2     
    388    0.1     
    389    0.3     
    390    0.2     
    391      0     
    392    0.2     
    393    0.2     
    394    0.1     
    395    0.2     
    396    0.1     
    397    0.2     
    398    0.1     
    399    0.1     
    400    0.4     

>> p30

p30 =

  50×1 table

           ProbFuse
           ________

    351    0.066667
    352    0.033333
    353    0.066667
    354         0.1
    355     0.23333
    356    0.033333
    357     0.16667
    358         0.1
    359         0.1
    360     0.16667
    361    0.066667
    362    0.066667
    363     0.13333
    364     0.33333
    365    0.033333
    366         0.1
    367         0.1
    368    0.033333
    369     0.16667
    370         0.2
    371    0.033333
    372     0.13333
    373    0.066667
    374         0.3
    375         0.1
    376     0.16667
    377    0.066667
    378    0.033333
    379    0.033333
    380    0.066667
    381    0.066667
    382         0.1
    383     0.13333
    384    0.066667
    385         0.1
    386         0.1
    387         0.1
    388    0.033333
    389     0.13333
    390    0.066667
    391     0.23333
    392         0.2
    393    0.066667
    394    0.066667
    395         0.1
    396         0.1
    397         0.1
    398    0.066667
    399    0.066667
    400     0.23333

>> Rprec

Rprec =

  50×1 table

           ProbFuse
           ________

    351    0.083333
    352     0.04065
    353    0.081967
    354     0.15789
    355         0.2
    356    0.058824
    357     0.15556
    358    0.078431
    359     0.10714
    360     0.17219
    361     0.22222
    362    0.051282
    363       0.125
    364         0.4
    365    0.028571
    366     0.12121
    367      0.1746
    368    0.065574
    369     0.30769
    370     0.19345
    371    0.058824
    372     0.14286
    373    0.060606
    374     0.18627
    375         0.1
    376     0.10784
    377    0.051282
    378     0.05102
    379      0.0625
    380     0.14286
    381    0.035714
    382     0.13636
    383     0.10274
    384    0.098039
    385     0.17442
    386    0.052632
    387     0.11765
    388    0.058824
    389    0.087629
    390    0.052239
    391      0.1236
    392     0.14286
    393    0.056338
    394    0.058824
    395     0.13615
    396     0.18644
    397     0.11111
    398    0.075862
    399    0.058824
    400       0.144

>> ap

ap =

  50×1 table

           ProbFuse 
           _________

    351     0.045254
    352    0.0075028
    353     0.057534
    354     0.070447
    355      0.11476
    356     0.019558
    357      0.10982
    358      0.10358
    359     0.079995
    360      0.13088
    361     0.092316
    362     0.044812
    363      0.14762
    364      0.31914
    365     0.067588
    366      0.10723
    367     0.067445
    368     0.057514
    369      0.22992
    370      0.10782
    371     0.017488
    372     0.079954
    373      0.11437
    374      0.18835
    375     0.055644
    376     0.037913
    377     0.060232
    378     0.011558
    379      0.03857
    380      0.20384
    381     0.017467
    382      0.19585
    383     0.027263
    384      0.10041
    385     0.090275
    386     0.085831
    387     0.094081
    388     0.026654
    389     0.019522
    390     0.032425
    391      0.07315
    392      0.17028
    393     0.035048
    394     0.028908
    395     0.081601
    396       0.0651
    397     0.073586
    398      0.02006
    399     0.036216
    400      0.14564
