
p10 =

  50×1 table

           ProbFuse
           ________

    351      0     
    352    0.1     
    353      0     
    354    0.1     
    355    0.1     
    356    0.1     
    357    0.3     
    358    0.1     
    359    0.1     
    360      0     
    361    0.1     
    362    0.1     
    363    0.1     
    364    0.4     
    365    0.1     
    366    0.1     
    367    0.1     
    368    0.2     
    369    0.5     
    370    0.1     
    371      0     
    372    0.3     
    373    0.2     
    374    0.5     
    375    0.1     
    376    0.2     
    377    0.1     
    378      0     
    379    0.1     
    380      0     
    381    0.1     
    382    0.2     
    383    0.2     
    384    0.1     
    385    0.1     
    386      0     
    387    0.2     
    388    0.1     
    389    0.2     
    390    0.2     
    391    0.1     
    392      0     
    393    0.2     
    394      0     
    395    0.2     
    396    0.1     
    397    0.2     
    398    0.1     
    399    0.1     
    400    0.2     

>> p30

p30 =

  50×1 table

           ProbFuse
           ________

    351           0
    352    0.033333
    353    0.033333
    354     0.13333
    355     0.16667
    356    0.033333
    357     0.16667
    358         0.1
    359    0.033333
    360    0.066667
    361    0.033333
    362    0.066667
    363    0.066667
    364     0.43333
    365    0.066667
    366    0.033333
    367     0.13333
    368         0.1
    369         0.3
    370         0.2
    371    0.033333
    372         0.1
    373    0.066667
    374     0.33333
    375    0.066667
    376    0.066667
    377    0.066667
    378    0.033333
    379    0.033333
    380    0.033333
    381    0.033333
    382     0.13333
    383    0.066667
    384         0.1
    385     0.13333
    386    0.066667
    387    0.066667
    388    0.033333
    389     0.13333
    390     0.13333
    391     0.23333
    392    0.033333
    393    0.066667
    394    0.033333
    395     0.13333
    396    0.033333
    397    0.066667
    398    0.033333
    399    0.033333
    400     0.16667

>> Rprec1

Rprec1 =

  50×1 table

           ProbFuse
           ________

    351    0.041667
    352     0.04065
    353    0.065574
    354     0.14958
    355     0.17778
    356    0.058824
    357     0.14444
    358    0.078431
    359    0.035714
    360     0.13245
    361     0.11111
    362    0.051282
    363      0.0625
    364     0.42857
    365    0.057143
    366    0.090909
    367     0.21693
    368    0.081967
    369     0.46154
    370     0.17857
    371    0.058824
    372    0.081633
    373    0.060606
    374     0.18137
    375      0.0875
    376    0.068627
    377    0.051282
    378    0.040816
    379      0.0625
    380           0
    381    0.035714
    382     0.18182
    383    0.082192
    384    0.058824
    385     0.12791
    386    0.052632
    387     0.11765
    388    0.019608
    389    0.056701
    390    0.052239
    391     0.11236
    392     0.12381
    393    0.056338
    394           0
    395     0.14554
    396    0.016949
    397    0.074074
    398    0.068966
    399    0.039216
    400       0.152

>> ap1

ap1 =

  50×1 table

           ProbFuse 
           _________

    351     0.036393
    352    0.0064292
    353     0.048884
    354     0.069926
    355     0.063052
    356     0.012611
    357      0.10368
    358     0.091536
    359     0.023655
    360      0.10581
    361      0.05844
    362      0.03066
    363     0.054049
    364      0.39051
    365     0.077204
    366     0.091713
    367     0.079355
    368     0.059807
    369      0.31419
    370     0.099894
    371     0.010316
    372      0.06405
    373      0.09361
    374      0.18279
    375     0.050345
    376     0.026727
    377      0.06239
    378    0.0073943
    379     0.022002
    380     0.029941
    381      0.02201
    382      0.14351
    383     0.022928
    384     0.089006
    385      0.08277
    386      0.02998
    387     0.079697
    388     0.016986
    389     0.016541
    390     0.023494
    391     0.067096
    392       0.1495
    393     0.014814
    394    0.0076178
    395     0.080367
    396     0.038651
    397     0.052322
    398     0.017639
    399      0.03016
    400      0.12869

>> MAP

MAP =

    0.0696
