p_10 =

  50×1 table

           ProbFuse
           ________

    351      0     
    352    0.1     
    353    0.1     
    354    0.2     
    355    0.4     
    356    0.1     
    357    0.2     
    358    0.3     
    359    0.2     
    360    0.1     
    361    0.1     
    362    0.1     
    363    0.3     
    364    0.7     
    365      0     
    366    0.1     
    367    0.2     
    368    0.1     
    369    0.9     
    370    0.4     
    371    0.1     
    372    0.3     
    373    0.1     
    374    0.7     
    375    0.1     
    376    0.2     
    377    0.2     
    378    0.1     
    379    0.1     
    380    0.1     
    381      0     
    382    0.3     
    383    0.1     
    384    0.2     
    385    0.1     
    386    0.1     
    387    0.1     
    388    0.1     
    389    0.3     
    390    0.2     
    391    0.2     
    392    0.2     
    393    0.2     
    394    0.1     
    395    0.1     
    396    0.1     
    397    0.2     
    398    0.1     
    399    0.1     
    400    0.3     

>> p_30

p_30 =

  50×1 table

           ProbFuse
           ________

    351         0.1
    352    0.066667
    353    0.066667
    354         0.1
    355         0.3
    356    0.033333
    357         0.2
    358         0.1
    359     0.13333
    360     0.16667
    361    0.066667
    362    0.066667
    363     0.13333
    364     0.53333
    365    0.066667
    366     0.13333
    367     0.23333
    368    0.066667
    369         0.3
    370         0.3
    371    0.066667
    372     0.16667
    373    0.066667
    374         0.3
    375    0.066667
    376     0.16667
    377         0.1
    378    0.066667
    379    0.066667
    380    0.066667
    381         0.1
    382         0.1
    383     0.16667
    384     0.16667
    385         0.2
    386    0.066667
    387         0.1
    388    0.066667
    389     0.16667
    390    0.066667
    391     0.23333
    392     0.16667
    393    0.066667
    394    0.066667
    395     0.13333
    396     0.36667
    397         0.1
    398         0.1
    399    0.066667
    400     0.16667

>> Rprec2

Rprec2 =

  50×1 table

           ProbFuse
           ________

    351    0.083333
    352    0.060976
    353     0.12295
    354     0.18837
    355     0.24444
    356    0.058824
    357     0.17037
    358     0.13725
    359     0.14286
    360     0.18543
    361     0.11111
    362    0.051282
    363      0.1875
    364     0.57143
    365    0.057143
    366     0.12121
    367     0.29101
    368    0.081967
    369     0.69231
    370     0.23214
    371    0.058824
    372     0.14286
    373    0.060606
    374     0.20588
    375         0.1
    376    0.098039
    377    0.076923
    378    0.091837
    379      0.0625
    380     0.14286
    381    0.071429
    382     0.13636
    383     0.10274
    384     0.13725
    385     0.15116
    386    0.052632
    387     0.12941
    388    0.078431
    389    0.087629
    390    0.074627
    391     0.14045
    392     0.19048
    393    0.098592
    394     0.11765
    395     0.15962
    396     0.20339
    397    0.074074
    398    0.089655
    399    0.098039
    400       0.152

>> ap2

ap2 =

  50×1 table

           ProbFuse
           ________

    351    0.057622
    352    0.011458
    353    0.069433
    354    0.081728
    355     0.13838
    356    0.065435
    357     0.11624
    358      0.1325
    359    0.061626
    360      0.1492
    361     0.10801
    362    0.048826
    363     0.20361
    364     0.54969
    365    0.078934
    366     0.12187
    367     0.11071
    368    0.062479
    369     0.69231
    370     0.11913
    371      0.0327
    372     0.11171
    373    0.099452
    374     0.20806
    375    0.058116
    376    0.035096
    377    0.083704
    378    0.018926
    379    0.086313
    380      0.2014
    381    0.023188
    382     0.20761
    383    0.032165
    384     0.12454
    385    0.097057
    386    0.043839
    387      0.1108
    388    0.032308
    389    0.023004
    390    0.040659
    391    0.078074
    392     0.19454
    393    0.039127
    394    0.074205
    395     0.08958
    396    0.092854
    397    0.083928
    398    0.031759
    399    0.044451
    400     0.15014

>> mediaB

mediaB =

    0.1106
