p10 =

  50×1 table

           ProbFuse
           ________

    351      0     
    352    0.1     
    353    0.3     
    354    0.3     
    355      0     
    356      0     
    357    0.1     
    358      0     
    359      0     
    360    0.3     
    361    0.1     
    362      0     
    363      0     
    364    0.3     
    365    0.1     
    366    0.1     
    367    0.1     
    368      0     
    369    0.5     
    370      0     
    371      0     
    372      0     
    373      0     
    374    0.3     
    375      0     
    376    0.1     
    377      0     
    378      0     
    379      0     
    380      0     
    381      0     
    382      0     
    383      0     
    384      0     
    385    0.1     
    386      0     
    387      0     
    388      0     
    389    0.1     
    390    0.2     
    391      0     
    392      0     
    393    0.3     
    394      0     
    395    0.2     
    396      0     
    397    0.1     
    398      0     
    399      0     
    400    0.5  

p30 =

  50×1 table

           ProbFuse
           ________

    351           0
    352    0.066667
    353         0.2
    354         0.3
    355           0
    356           0
    357    0.033333
    358         0.1
    359           0
    360     0.26667
    361    0.033333
    362    0.033333
    363           0
    364         0.3
    365    0.066667
    366     0.16667
    367     0.16667
    368    0.033333
    369     0.26667
    370    0.033333
    371           0
    372           0
    373         0.1
    374     0.23333
    375    0.033333
    376    0.066667
    377           0
    378    0.033333
    379           0
    380           0
    381           0
    382    0.033333
    383    0.066667
    384    0.033333
    385    0.066667
    386           0
    387    0.066667
    388    0.066667
    389     0.13333
    390     0.13333
    391         0.1
    392    0.033333
    393         0.1
    394           0
    395         0.1
    396           0
    397         0.1
    398     0.13333
    399    0.033333
    400         0.2


Rprec =

  50×1 table

           ProbFuse
           ________

    351           0
    352    0.077236
    353     0.12295
    354     0.18283
    355           0
    356           0
    357     0.18519
    358    0.078431
    359           0
    360     0.21854
    361     0.11111
    362    0.025641
    363           0
    364     0.34286
    365    0.057143
    366     0.14141
    367      0.1164
    368     0.14754
    369     0.53846
    370     0.14881
    371           0
    372           0
    373    0.090909
    374     0.20098
    375         0.1
    376    0.068627
    377           0
    378    0.020408
    379           0
    380           0
    381           0
    382           0
    383    0.047945
    384    0.019608
    385     0.05814
    386           0
    387    0.058824
    388    0.039216
    389    0.056701
    390     0.14179
    391     0.10674
    392     0.10476
    393    0.070423
    394           0
    395    0.098592
    396    0.016949
    397     0.11111
    398    0.082759
    399     0.04902
    400       0.128

ap =

  50×1 table

           ProbFuse 
           _________

    351     0.022552
    352     0.013632
    353     0.064554
    354     0.076284
    355     0.016598
    356    0.0013699
    357      0.11272
    358      0.10186
    359     0.010371
    360      0.13393
    361      0.14689
    362     0.036362
    363      0.03438
    364      0.27799
    365      0.07196
    366      0.10334
    367     0.058527
    368      0.10288
    369      0.32333
    370     0.078038
    371    0.0025899
    372     0.023771
    373     0.048719
    374      0.16507
    375     0.041149
    376    0.0095165
    377      0.03776
    378    0.0043065
    379     0.011109
    380     0.012034
    381    0.0047137
    382     0.030516
    383     0.012572
    384     0.056149
    385     0.065934
    386    0.0090705
    387     0.058199
    388     0.019544
    389     0.011033
    390     0.039582
    391     0.059456
    392      0.11485
    393      0.02401
    394    0.0011565
    395     0.077039
    396     0.010948
    397     0.056679
    398     0.019211
    399      0.01137
    400      0.13609
