p10 =

  50×1 table

           ProbFuse
           ________

    351    0.1     
    352    0.1     
    353    0.1     
    354    0.1     
    355    0.4     
    356    0.1     
    357    0.2     
    358    0.3     
    359    0.3     
    360    0.3     
    361    0.1     
    362    0.1     
    363    0.3     
    364    0.3     
    365    0.1     
    366    0.1     
    367    0.1     
    368    0.1     
    369    0.3     
    370    0.3     
    371    0.1     
    372    0.3     
    373    0.2     
    374    0.6     
    375    0.2     
    376    0.3     
    377    0.3     
    378    0.1     
    379    0.1     
    380    0.2     
    381    0.1     
    382    0.3     
    383    0.2     
    384    0.2     
    385    0.2     
    386    0.1     
    387    0.1     
    388    0.1     
    389    0.1     
    390    0.2     
    391    0.6     
    392    0.1     
    393    0.2     
    394    0.1     
    395    0.1     
    396    0.1     
    397    0.2     
    398    0.1     
    399    0.1     
    400    0.3     

>> p30

p30 =

  50×1 table

           ProbFuse
           ________

    351    0.066667
    352    0.066667
    353    0.066667
    354     0.16667
    355         0.3
    356    0.033333
    357     0.16667
    358     0.16667
    359     0.16667
    360         0.2
    361    0.066667
    362    0.066667
    363     0.13333
    364     0.33333
    365         0.1
    366     0.13333
    367     0.13333
    368     0.13333
    369     0.16667
    370     0.33333
    371    0.066667
    372         0.2
    373         0.1
    374     0.33333
    375     0.23333
    376         0.2
    377         0.1
    378    0.066667
    379         0.1
    380     0.13333
    381         0.1
    382         0.2
    383     0.13333
    384     0.16667
    385     0.13333
    386         0.1
    387     0.16667
    388    0.066667
    389     0.16667
    390     0.16667
    391         0.3
    392     0.16667
    393         0.1
    394    0.066667
    395     0.13333
    396     0.36667
    397         0.1
    398     0.13333
    399     0.13333
    400     0.16667

>> Rprec

Rprec =

  50×1 table

           ProbFuse
           ________

    351    0.083333
    352    0.077236
    353     0.13115
    354     0.19114
    355     0.26667
    356    0.058824
    357     0.18148
    358     0.13725
    359     0.17857
    360     0.22517
    361     0.11111
    362    0.051282
    363        0.25
    364     0.37143
    365     0.11429
    366     0.13131
    367     0.22222
    368     0.11475
    369     0.23077
    370     0.24405
    371    0.058824
    372     0.16327
    373    0.090909
    374     0.21569
    375         0.1
    376     0.11765
    377     0.10256
    378    0.071429
    379      0.0625
    380     0.28571
    381     0.10714
    382     0.13636
    383     0.10959
    384     0.13725
    385     0.17442
    386     0.15789
    387     0.12941
    388    0.078431
    389    0.092784
    390    0.067164
    391     0.16292
    392     0.15238
    393     0.11268
    394     0.11765
    395     0.16901
    396     0.25424
    397     0.11111
    398     0.10345
    399     0.12745
    400       0.168

>> ap

ap =

  50×1 table

           ProbFuse
           ________

    351     0.06902
    352    0.013803
    353     0.07348
    354    0.081704
    355     0.15138
    356    0.065449
    357     0.12003
    358     0.14496
    359     0.13122
    360     0.16662
    361     0.11572
    362    0.062602
    363     0.13522
    364     0.32098
    365     0.10244
    366     0.14161
    367    0.078624
    368    0.086134
    369     0.23793
    370     0.12983
    371    0.074051
    372     0.12583
    373     0.12393
    374     0.22087
    375    0.090562
    376    0.050851
    377     0.10758
    378    0.021935
    379     0.06031
    380     0.25727
    381    0.032878
    382     0.23529
    383    0.039371
    384     0.13601
    385     0.10826
    386    0.058828
    387     0.11776
    388    0.040623
    389     0.02057
    390    0.041581
    391      0.1161
    392     0.17747
    393    0.043709
    394    0.076487
    395    0.098264
    396     0.10541
    397     0.16219
    398    0.033405
    399    0.053635
    400     0.15461
